"";"site";"subregion";"municipality";"mun_id";"year";"date";"dec_date";"state";"state_id";"land_tenure";"longitude";"latitude";"temp";"precip";"altitude";"average_slope";"landform";"aspect";"aspect_gee";"aspect_gee_c";"aspect_se_gee";"slope_gee";"slope_se_gee";"primary_veg";"sec_veg";"plot_no";"tree_no_ave";"av_basalarea_site";"se_basalarea_site";"av_treeheight_site";"se_treeheight_site";"av_loreys_site";"se_loreys_site";"av_treedensity_site";"se_treedensity_site";"av_agb_site";"se_agb_site";"shannon";"simpson";"shannon_av_site";"shannon_se_site";"simpson_av_site";"simpson_se_site";"sp_richness_site";"sp_richness_site_av";"sp_richness_site_se";"sp_richness_site_sd";"agriculture";"grazing";"mosaic";"landscape"
"11";"73353";"Sierra Mixe";"San Juan Mazatlan";207;2010;2010-07-19;2010,54520547945;"Oaxaca";20;"Comunal";-95,66997156;17,02638822;21,7124996185303;1771;1100;40;"Ladera";"Sureste";128,086765;"W";14,7194921416244;26,7635485;0,523742846231733;"BM";"VSaa";4;5,5;5,0297015625;1,79073058659197;8,83727272727273;0,631823849985475;12,2966643487488;3,1610654602231;137,5;51,5388203202208;40,0002141052698;20,0614132541857;1,15819725468005;0,650205761316872;0,626952714120119;0,22642812340401;0,393871848542178;0,138108299922226;4;2,25;0,478713553878169;0,957427107756338;0;2;0;1
"12";"73556";"Sierra Mixe";"Santa Maria Tepantlali";435;2011;2011-05-22;2011,38630136986;"Oaxaca";20;"Comunal";-96;16,99469411;17,1708335876465;1368;1768;60;"Ladera";"Noroeste";71,0199674;"W";62,9655042451516;31,8092085;1,91345001672182;"BM";"VSaa";4;15,25;5,483029525;1,25067892693183;8,14561298076923;0,500067819062665;9,20590593525947;0,790743266070858;381,25;142,658902631417;23,5525497198588;2,90671609453916;1,48318493136453;0,714100346020761;0,819666962293818;0,24519694138363;0,433921974171206;0,125437036881512;7;3,5;0,645497224367903;1,29099444873581;0;2;0,125;0,875
"13";"73768";"Sierra Mixe";"San Miguel Quetzaltepec";275;2013;2013-05-12;2013,35890410959;"Oaxaca";20;"Comunal";-95,81447222;16,94194411;20,8624992370605;1451;1283;40;"Lomerio";"Sureste";289,76244;"S";7,1241534702693;35,548146;0,747007584715623;"BM";"VSA";4;25,5;12,9691767375;7,63997484699947;8,50427773497689;0,416406906097763;9,31052126051928;0,808277349978299;637,5;283,670142947755;44,1702393921545;2,23033382360065;2,08292514833151;0,854479046520569;1,45815870692847;0,110712005119545;0,732134708580675;0,0318500068360842;11;5,5;0,645497224367903;1,29099444873581;2;0;0,125;0,875
"14";"64985";"Huautla_Zongolica";"Texhuacan";171;2013;2013-05-28;2013,40273972603;"Veracruz de Ignacio de la Llave";30;"Comunal";-97,021416;18,61555556;18,8041667938232;1691;1582;38;"Ladera";"Oeste";161,00454;"S";16,8272216926359;24,50431925;4,28773473931073;"BQP";"VSA";4;42,25;27,246910288641;7,75880174292475;10,6079193722944;0,572128732089515;13,4222564880507;1,21252349991833;1056,25;258,274522875693;210,528107475047;6,23134114675431;1,47118700033662;0,657399950982108;1,22322930814062;0,171726272230795;0,630265297923577;0,0599212890586301;10;5,25;0,75;1,5;0;0;0,375;0,625
"15";"64987";"Huautla_Zongolica";"Zongolica";201;2010;2010-10-12;2010,77808219178;"Veracruz de Ignacio de la Llave";30;"Ejidal";-96,92638822;18,61211111;19,8125;2116;1693;60;"Ladera";"Suroeste";142,675726;"S";16,352274;24,68677675;0,604564750000001;"BM";"VSn";4;25,5;16,1788530971167;1,41390116937622;7,6317421648304;0,573977391515207;11,1280655686331;2,05900600039495;637,5;106,311256851442;66,7513290152456;5,7280510430983;1,74319155668783;0,732218377547097;1,34581666664278;0,153697542239281;0,640962331024665;0,0771321527614449;11;6;0,408248290463863;0,816496580927726;0;0;0,375;0,625
"16";"66428";"Huautla_Zongolica";"Ajalpan";10;2009;2009-08-22;2009,63835616438;"Puebla";21;"Ejidal";-96,98222156;18,38777744;11,091667175293;1426;2244;10;"Ladera";"Oeste";237,6049925;"S";17,125080472742;16,4130515;1,56414927513001;"BM";"VSn";4;13,25;5,69846480937619;1,66779947854167;8,166875;0,762193348705029;8,96660266174143;1,10821994274592;331,25;53,4000234082346;27,3528406003041;3,96486077781587;1,0438046733949;0,549556213017752;0,951455475988347;0,0798016884380369;0,528047445830184;0,0520720449835035;4;3,5;0,288675134594813;0,577350269189626;0;0;0;1
"17";"67308";"Huautla_Zongolica";"Coyomeapan";36;2009;2009-08-06;2009,59452054795;"Puebla";21;"Comunal";-96,93972189;18,25055556;13,7458333969116;1853;2468;60;"Ladera";"Este";126,787665;"W";9,47370833016081;28,1566025;0,822600885393853;"BPQ";"VSaa";4;29,25;12,7392469479092;2,16224841647201;7,04149739374499;0,461763161510708;9,48967985863687;1,26276520600946;731,25;123,480345939479;45,6141085834431;2,74190986539811;0,916281612668144;0,507853020673533;0,886193197751452;0,125076415657497;0,504394175178407;0,06789821078156;4;3,5;0,288675134594813;0,577350269189626;0;0;0,375;0,625
"18";"67311";"Huautla_Zongolica";"Santa Maria Chilchotla";406;2012;2012-03-13;2012,19672131148;"Oaxaca";20;"Propiedad Particular";-96,79774967;18,245583;21,7625007629395;3204;1345;25;"Lomerio";"Sureste";54,76443725;"W";23,329314863426;18,3248855;3,04562582458399;"BM";"VSA";4;16,5;11,13263260625;4,2090107066324;8,7427931488801;0,863998823893049;9,96753255800302;0,792796517673419;412,5;155,623744974859;49,2302126430691;4,66545981942395;2,01947432809557;0,836798991808444;1,03930266521608;0,359826195299875;0,51834464250687;0,17582982377381;10;4,5;1,3228756555323;2,64575131106459;0;0;0,25;0,75
"19";"67604";"Huautla_Zongolica";"Santa Maria Chilchotla";406;2010;2010-09-23;2010,72602739726;"Oaxaca";20;"Ejidal";-96,79972189;18,20052778;18,9916663169861;2719,25;1550;50;"Lomerio";"Noroeste";136,6510075;"S";8,91179914608004;17,697589;6,8489149934188;"BM";"VSA";4;31,75;16,23185664375;7,2077735716082;7,68753205128205;0,642562549398792;9,29015350034334;1,11454581764632;793,75;299,717749168558;64,1674401972057;2,5520983626018;2,41257785777952;0,897761795523591;1,75764881864917;0,252752532118838;0,788558970706407;0,0523471927632597;15;8;1,91485421551268;3,82970843102535;0;0;0,25;0,75
"20";"68399";"Huautla_Zongolica";"Huautepec";40;2010;2010-08-09;2010,60273972603;"Oaxaca";20;"Comunal";-96,75744444;18,06333333;16,2083339691162;2012;2319;30;"Ladera";"Noreste";168,06902;"S";10,6176930410699;45,086525;5,03090540025764;"BM";"VSaa";4;39,75;23,7237660125;2,29884193902189;9,83119154080551;0,378838258999914;12,0899997664562;0,920134999646168;993,75;75,2599661174519;143,360986124129;6,15329488014267;2,15407219178698;0,849586776859504;1,72936115723318;0,130551958715344;0,786481833925435;0,0310660419644731;14;7,5;0,645497224367903;1,29099444873581;0;0;0,5;0,5
"21";"68901";"Huautla_Zongolica";"San Andres Teotilalpam";98;2013;2013-04-30;2013,32602739726;"Oaxaca";20;"Comunal";-96,66674933;17,96947156;18,2406244277954;2619;1926;55;"Terraza";"Oeste";131,3385925;"W";17,9740103657783;13,185148;1,35663996942901;"BM";"VSA";4;50,25;28,98656485;8,27166007923693;10,7022264901767;1,36666479758519;13,1632784406819;2,25239236438277;1256,25;132,041265645757;214,347653799156;8,33205655728354;2,05854387161678;0,80346526244267;1,52105290508796;0,0860472856118099;0,675298067508926;0,0311025811317096;18;9;1;2;0;0;0,625;0,375
"22";"69612";"Ixtlan";"Concepcion Papalo";19;2009;2009-07-29;2009,57260273973;"Oaxaca";20;"Comunal";-96,81341667;17,83891633;10,5833330154419;1102;2701;60;"Ladera";"Noroeste";241,3427175;"S";59,9594382924396;21,7458845;3,18710805459575;"BM";"VSaa";4;26,5;28,4966486625;4,91973827846074;15,0037918697844;1,9519418470659;20,1679433341687;1,95352037876059;662,5;197,246672975744;161,788813286783;12,5358318175839;1,49734426605672;0,721329639889197;1,16236738944825;0,104840352826649;0,615274860713546;0,0460136074557705;8;4,5;0,5;1;0;0;0,875;0,125
"23";"69842";"Ixtlan";"San Juan Tepeuxila";220;2013;2013-05-09;2013,35068493151;"Oaxaca";20;"Comunal";-96,76780489;17,79219411;12,5500001907349;1121;2413;20;"Lomerio";"Este";77,14678325;"W";26,4503607559086;17,793977;3,15134261798708;"BM";"VSA";4;34,25;23,6244641;2,00459973876194;9,96012246852764;0,145907331890977;12,3299250348951;0,538742887283613;856,25;44,9247055267663;127,815994686116;6,05331806690646;1,68229481890431;0,770952101870105;1,49654020402761;0,0857463092559974;0,742216696025904;0,0261882077600568;9;5,5;0,288675134594813;0,577350269189626;0;0;0,5;0,5
"24";"70072";"Ixtlan";"San Juan Tepeuxila";220;2012;2012-08-03;2012,58743169399;"Oaxaca";20;"Comunal";-96,72252711;17,74527744;13,8291664123535;1176;2355;25;"Lomerio";"Suroeste";113,79242675;"W";38,0990799731026;26,763757;4,85803023021818;"BQP";"VSA";4;33,5;42,91495313125;8,21187029513051;13,5247683211098;0,929914351985473;22,3325100887423;1,80519039761177;837,5;112,5;335,084163042521;17,1684078167276;1,41472504304086;0,694809534417465;1,04179682107495;0,111406710918584;0,537149938041729;0,0572011791249402;6;4,5;0,288675134594813;0,577350269189626;0;0;1;0
"25";"70073";"Ixtlan";"San Juan Quiotepec";214;2013;2013-05-06;2013,34246575342;"Oaxaca";20;"Comunal";-96,67527711;17,74361078;14,2624998092651;1426;2115;40;"Ladera";"Noreste";37,72713;"N";0;21,24939;0;"BM";"VSA";4;34,5;29,12439796875;3,56339949553635;11,9825757694023;0,614111212172272;19,9201157460353;1,99849578551239;862,5;233,296127986157;192,38962183119;14,8158458061657;2,14544620192231;0,833123293425751;1,62616611591198;0,145773273928895;0,741910489391958;0,0603476605803952;15;7,25;0,478713553878169;0,957427107756338;0;0;0,875;0,125
"26";"70302";"Ixtlan";"San Juan Quiotepec";214;2012;2012-03-17;2012,20765027322;"Oaxaca";20;"Comunal";-96,63005489;17,69686078;17,5666675567627;2375;1847;73;"Ladera";"Norte";215,6487275;"S";18,6251045070497;22,85775425;1,96724850483229;"BM";"VSn";4;72,25;36,55845105625;7,44065483341854;10,0897628034091;1,13067952534249;14,0863733563282;1,85083015917494;1806,25;444,101973087263;195,707974412032;5,03976462253077;1,41992098892849;0,676290523874569;1,05044412400499;0,139178936321138;0,569209185089691;0,0651810655015982;11;5;0,408248290463863;0,816496580927726;0;0;0,625;0,375
"27";"70531";"Ixtlan";"San Felipe Usila";136;2012;2012-04-08;2012,26775956284;"Oaxaca";20;"Comunal";-96,53747189;17,648333;13,4624996185303;1466;2330;30;"Ladera";"Sureste";172,52532275;"S";53,7173228977862;17,47692875;0,782226086545781;"BM";"VSn";4;31;26,82605848125;10,7835744548009;12,9321718113976;0,966216342654526;14,8584432313769;0,628241478516814;775;372,910847254407;120,752244133653;7,09567536893544;0,510635883151642;0,23167044595616;0,443983069481063;0,0375417571882754;0,241591337049323;0,0223185552389191;4;2,5;0,288675134594813;0,577350269189626;0;0;0,25;0,75
"28";"70980";"Ixtlan";"San Juan Bautista Atatlahuca";175;2009;2009-06-29;2009,4904109589;"Oaxaca";20;"Comunal";-96,729416;17,56472222;11,8458337783813;1026;2573;60;"Ladera";"Noroeste";235,75786;"S";48,5934277041956;27,030901;3,2625162450711;"BM";"VSn";4;25,75;20,0543833125;2,60332838061336;8,14925551470588;0,78766820665059;10,8643882033257;1,06823972421347;643,75;106,25;118,552722003529;7,38086143170507;1,49869756981032;0,742200018851918;1,32484543377759;0,152581369956346;0,69542961991782;0,0496227935020003;6;4,75;0,629152869605896;1,25830573921179;0;0;0,5;0,5
"29";"71424";"Ixtlan";"Ixtlan de Juarez";42;2012;2012-03-18;2012,21038251366;"Oaxaca";20;"Comunal";-96,40366667;17,46241667;11,8625001907349;1324;2695;60;"Lomerio";"Noroeste";130,019614;"W";44,9450665953854;23,3084735;3,6956779174765;"BM";"VSn";4;33,75;51,0811941;6,57010421145116;14,623547979798;0,43245593245227;24,9185568851404;1,007784167236;843,75;113,823236497064;414,524133177759;19,2913254095828;1,14528614711565;0,628754463348036;0,833857134092079;0,163796124180081;0,47386807186988;0,0973232057106918;6;3,5;0,5;1;0;0;1;0
"30";"71637";"Ixtlan";"Ixtlan de Juarez";42;2009;2009-07-04;2009,50410958904;"Oaxaca";20;"Comunal";-96,44955522;17,41719378;12,6708335876465;1253;2336;50;"Ladera";"Oeste";317,03522;"N";0;15,716253;0;"BPQ";"VSA";4;20,5;41,12215431875;7,99273547477985;16,5483462732919;1,03139365393995;22,7563583564314;0,960525303383768;512,5;59,947894041409;260,936793613222;21,5596196824189;1,64522875000964;0,759471621425461;1,25643519708096;0,245855612968736;0,638353234614577;0,0843073981990314;8;5;1,22474487139159;2,44948974278318;0;0;1;0
"31";"71643";"Sierra Mixe";"San Juan Yatzona";223;2010;2010-08-14;2010,61643835616;"Oaxaca";20;"Comunal";-96,17027711;17,40836111;20,2416667938232;2793,5;1363;50;"Ladera";"Este";175,7011925;"S";69,4903220815839;26,0699075;1,08550710841665;"BM";"VSA";4;16,25;9,22330073125;0,99544453175015;8,27457107843137;0,554498444972554;11,8057704575762;0,792093398196055;406,25;70,9863543225034;38,7530275130112;4,32470860615362;1,89761621376338;0,811834319526627;1,39393836417447;0,149808276684445;0,713718882160707;0,0416983195540435;10;5;0,707106781186548;1,4142135623731;0;0;0;1
